stage,provider,model,prompt_token,completion_token,total_token
STAGE_1,openai,gpt-4o-mini,29,100,129
STAGE_1,google,gemini-2.5-flash-lite,24,132,156
STAGE_1,anthropic,claude-haiku-4-5-20251001,29,134,163
STAGE_1,nvidia,nvidia/nemotron-3-super-120b-a12b,40,157,197
STAGE_1,meta,meta/llama-4-maverick-17b-128e-instruct,33,107,140
STAGE_1,mistral,mistral-small-latest,41,121,162
STAGE_2,openai,gpt-4o-mini,863,117,980
STAGE_2,google,gemini-2.5-flash-lite,910,106,1016
STAGE_2,anthropic,claude-haiku-4-5-20251001,933,196,1129
STAGE_2,nvidia,nvidia/nemotron-3-super-120b-a12b,896,125,1021
STAGE_2,meta,meta/llama-4-maverick-17b-128e-instruct,866,101,967
STAGE_2,mistral,mistral-small-latest,897,120,1017
STAGE_3,openai,gpt-4o-mini,1147,245,1392
STAGE_3,google,gemini-2.5-flash-lite,1206,281,1487
STAGE_3,anthropic,claude-haiku-4-5-20251001,1248,251,1499
STAGE_3,nvidia,nvidia/nemotron-3-super-120b-a12b,1192,263,1455
STAGE_3,meta,meta/llama-4-maverick-17b-128e-instruct,1153,249,1402
STAGE_3,mistral,mistral-small-latest,1194,282,1476
